2,Terry Pike,Maggotkin of Nurgle,+48.7
3,Gary Percival,Kharadron Overlords,+48.0
4,Ritchie McAlley,Gloomspite Gitz,+47.0
5,Martin Morrin,Blades of Khorne,+47.0
6,Adam Turner,Mawtribes,+46.6
7,Darren Watson,Maggotkin of Nurgle,+46.4
8,Leo Rautomen,Ironjawz,+44.9
9,Mark Wildman,Blades of Khorne,+44.2
11,Peter Pratt,Gloomspite Gitz,+43.4
12,Chris Caves Jr,Disciples of Tzeentch,+41.8
13,Dave Robinson,Flesh Eater Courts,+41.8
14,Andrew Hughes,Fyreslayers,+40.7
15,James Chalmers,Gloomspite Gitz,+39.2
16,David Jack,Stormcast Eternals,+38.7
