17,Adam Martin,65
18,Stuart West,62
19,Daniel Ryan,59
20,John Craig,56
21,Matt Rennie,53
22,Kevin Low,50
23,Paul di Duca,46
24,Jamie McHugh,43
25,Alan Mandelson,40
26,Aiden McKenna,37
27,Jonathan Forde,34
28,Katalin Fekete,31
29,Callum Sinclair,28
30,Lyndon Sinclair,26
31,Erik Bews,23
32,Will Pollock,21
33,Andrew Stephen,19
34,Jack Carruthers,16
35,Mark Storrar,15
36,Iain Hunter,13
37,Mark Roberts,11
38,Grant Fraser,10
39,Sean McKechnie,8
40,Garry Marshall,7
41,Gary Pollock,6
42,Mark Kittle,5
43,Adam Rawson,4
44,Samuel Pett,4
